address,city,state,zipcode,property_type,square_footage,lot_size,num_rooms,num_bedrooms,num_baths,year_built,last_sale_amount,last_sale_date,estimated_value
3417 E Yale Way,Denver,CO,80210,Single Family Residence,1156,6270.00,6,2,2.000,1953,199900,2004-10-05,445872
5031 Upton Ct,Denver,CO,80239,Single Family Residence,931,7500.00,6,3,2.000,1971,16355,2004-04-28,252216
4575 N Clay St,Denver,CO,80211,Single Family Residence,756,6200.00,5,2,1.000,1925,186900,2010-09-17,384370
3233 Zenobia St,Denver,CO,80212,Single Family Residence,1127,10800.00,4,2,2.000,1951,465000,2015-12-28,607356
1620 N Washington St,Denver,CO,80203,Single Family Residence,3434,4237.00,12,6,3.000,1937,480000,2007-10-17,964622
5182 Netherland St,Denver,CO,80249,Single Family Residence,2307,8238.00,6,3,2.000,2004,0,2005-02-01,353273
4789 S Lowell Blvd,Denver,CO,80123,Single Family Residence,1182,10400.00,5,3,3.000,1960,150000,2010-09-21,369890
4625 Decatur St,Denver,CO,80211,Single Family Residence,1282,6250.00,6,3,2.000,2003,175000,2013-10-22,402173
1251 W Tennessee Ave,Denver,CO,80223,Single Family Residence,992,7670.00,5,3,1.000,1952,75000,2008-12-23,258751
4339 Eaton St,Denver,CO,80212,Single Family Residence,593,6650.00,0,1,1.000,1914,159000,2004-06-03,277609
2953 S Reading Ct,Denver,CO,80231,Single Family Residence,1685,8860.00,7,3,3.000,1973,340000,2003-06-09,454584
430 Newton St,Denver,CO,80204,Single Family Residence,756,6020.00,4,2,1.000,1941,116500,1999-08-05,239790
418 Monroe St,Denver,CO,80206,Single Family Residence,3304,6250.00,10,1,4.000,1999,1450000,2010-09-21,2352691
18641 E 50th Pl,Denver,CO,80249,Single Family Residence,1407,2951.00,5,2,2.000,2015,235663,2015-12-24,332122
2940 S Utica St,Denver,CO,80236,Single Family Residence,977,8140.00,5,2,2.000,1956,78400,1991-06-17,315433
1545 S Fillmore St,Denver,CO,80210,Single Family Residence,2449,6250.00,15,2,4.000,2012,81950,1997-02-10,939512
1250 Grape St,Denver,CO,80220,Single Family Residence,1055,5850.00,5,2,2.000,1941,104000,1989-03-16,477802
995 Osceola St,Denver,CO,80204,Single Family Residence,997,9015.00,5,3,2.000,1998,0,1999-07-14,213481
3077 Geneva Ct,Denver,CO,80238,Single Family Residence,2428,3778.00,6,3,4.000,2013,553594,2013-11-29,652755
560 Bronco Rd,Denver,CO,80221,Single Family Residence,984,8448.00,5,3,1.000,1955,144000,2014-03-18,233947
8060 Emerson St,Denver,CO,80229,Single Family Residence,1976,8775.00,6,3,3.000,1964,97500,1996-06-19,280312
2081 Wyandot Dr,Denver,CO,80221,Single Family Residence,934,10240.00,5,3,1.000,1970,69000,1992-07-06,255126
8325 Elati St,Denver,CO,80221,Single Family Residence,1225,7455.00,6,3,1.000,1970,200000,2015-05-06,260806
5778 Alcott St,Denver,CO,80221,Single Family Residence,2280,7066.00,6,3,2.000,2002,249500,2015-01-30,352493
1241 E 83rd Pl,Denver,CO,80229,Single Family Residence,1115,8400.00,5,3,2.000,1959,175000,2006-03-09,256580
7899 Pecos St,Denver,CO,80221,Single Family Residence,850,6200.00,4,2,2.000,1957,92100,2009-04-07,256581
18930 E Chaffee Pl,Denver,CO,80249,Single Family Residence,1823,6390.00,6,3,4.000,1984,177000,2011-09-07,317804
1110 Fairfax St,Denver,CO,80220,Single Family Residence,1189,7500.00,4,2,1.000,1952,238500,2006-10-17,404013
3335 S Ulster Ct,Denver,CO,80231,Single Family Residence,1580,9630.00,5,3,3.000,1963,165000,1998-04-29,432364
1545 S Gaylord St,Denver,CO,80210,Single Family Residence,1014,6350.00,5,3,2.000,1955,545000,2016-01-14,719601
1126 S Gaylord St,Denver,CO,80210,Single Family Residence,1691,6300.00,7,3,2.000,1908,520000,2007-04-13,814031
1881 S Spruce St,Denver,CO,80231,Single Family Residence,2200,6364.00,7,4,4.000,1996,449900,2015-09-08,500004
4250 Hooker St,Denver,CO,80211,Single Family Residence,910,6250.00,5,2,1.000,1910,327000,2014-03-04,449512
5523 Laredo Way,Denver,CO,80239,Single Family Residence,2040,4604.00,7,3,3.000,2006,175000,2009-06-03,309227
3 Knox Ct,Denver,CO,80219,Single Family Residence,911,7810.00,4,2,2.000,1926,119900,2009-11-12,238227
4936 Elm Ct,Denver,CO,80221,Single Family Residence,752,6250.00,4,2,2.000,1941,302000,2014-07-02,389032
1909 W 35th Ave,Denver,CO,80211,Single Family Residence,1648,5670.00,7,3,2.000,1891,355500,2007-09-08,673095
2289 Holly St,Denver,CO,80207,Single Family Residence,912,4690.00,5,2,2.000,1924,74500,1993-05-01,486766
4463 Decatur St,Denver,CO,80211,Single Family Residence,816,4690.00,5,2,2.000,1923,457000,2015-03-17,549930
2265 S Julian St,Denver,CO,80219,Single Family Residence,1066,6210.00,5,3,1.000,1949,81800,2010-12-29,252189
4374 Lisbon St,Denver,CO,80249,Single Family Residence,1031,5520.00,5,2,2.000,1984,240000,2015-06-01,252544
4330 Durham Ct,Denver,CO,80239,Single Family Residence,921,4800.00,5,3,2.000,1981,177900,2004-12-29,253365
66 S Hudson St,Denver,CO,80246,Single Family Residence,1963,9000.00,6,3,3.000,1955,215000,1995-09-21,805868
410 Tennyson St,Denver,CO,80204,Single Family Residence,1110,7000.00,5,3,1.000,1952,163000,2005-10-11,239238
885 S Jersey St,Denver,CO,80224,Single Family Residence,1119,7350.00,6,3,3.000,1959,210000,2008-10-27,387873
526 S York St,Denver,CO,80209,Single Family Residence,2660,6240.00,8,3,4.000,1928,887300,2012-12-05,1402523
5101 W 2nd Ave,Denver,CO,80219,Single Family Residence,834,8190.00,5,2,2.000,1939,153000,2012-09-28,280673
840 Linley Ct,Denver,CO,80204,Single Family Residence,935,6250.00,5,2,1.000,1900,29000,2000-06-01,215833
2121 S Clarkson St,Denver,CO,80210,Single Family Residence,1428,6270.00,6,3,2.000,1906,365000,2010-07-20,644431
340 S Ivy St,Denver,CO,80224,Single Family Residence,1076,6250.00,5,3,2.000,1959,86000,1987-03-01,414830
2685 S Winona Ct,Denver,CO,80219,Single Family Residence,2355,13700.00,6,3,3.000,1961,0,2014-04-10,432527
467 N Franklin St,Denver,CO,80218,Single Family Residence,3036,6250.00,10,3,4.000,1925,940000,2012-06-25,1453324
6690 E Colorado Dr,Denver,CO,80224,Single Family Residence,2202,7000.00,9,5,4.000,1963,152059,1994-03-01,500932
1192 S Alcott St,Denver,CO,80219,Single Family Residence,804,6060.00,5,2,2.000,1954,131100,2013-05-16,291959
4845 W 2nd Ave,Denver,CO,80219,Single Family Residence,929,6470.00,5,3,1.000,1955,36200,1982-10-01,238027
324 S Niagara St,Denver,CO,80224,Single Family Residence,1765,7150.00,6,3,3.000,1962,289000,2010-12-17,577311
5554 Victor St,Denver,CO,80239,Single Family Residence,1173,6300.00,6,4,2.000,1970,116000,2009-03-11,256272
1185 S Utica St,Denver,CO,80219,Single Family Residence,2714,7500.00,8,4,3.000,1955,236000,2015-06-11,372642
180 Wolff St,Denver,CO,80219,Single Family Residence,950,7000.00,5,3,2.000,1973,101542,2009-01-27,285832
4264 King St,Denver,CO,80211,Single Family Residence,1776,6250.00,6,3,3.000,2011,645000,2015-09-14,700227
932 Utica St,Denver,CO,80204,Single Family Residence,696,6500.00,7,3,2.000,1951,0,2005-04-11,276612
1609 S Winona Ct,Denver,CO,80219,Single Family Residence,990,6000.00,5,3,2.000,1955,70000,1979-10-01,285730
2259 S Zurich Ct,Denver,CO,80219,Single Family Residence,1150,7190.00,6,3,2.000,1955,210000,2002-09-19,319676
2377 S Clayton St,Denver,CO,80210,Single Family Residence,2029,7500.00,6,3,3.000,1961,439500,2013-04-29,740486
4842 Quitman St,Denver,CO,80212,Single Family Residence,616,4690.00,4,2,1.000,1923,197000,2014-10-15,326879
1430 S Tejon St,Denver,CO,80223,Single Family Residence,1097,11600.00,4,2,1.000,1955,95151,2009-07-13,264739
5494 Chandler Way,Denver,CO,80239,Single Family Residence,1060,8120.00,5,3,2.000,1974,0,2005-01-10,253734
2735 S Kendall Way,Denver,CO,80227,Single Family Residence,2777,10000.00,8,4,3.000,1963,350000,2014-10-23,495992
1562 S Osceola Way,Denver,CO,80219,Single Family Residence,1211,9100.00,6,3,1.000,1953,26300,1992-09-29,273836
1480 S Vine St,Denver,CO,80210,Single Family Residence,1213,7560.00,5,2,2.000,1952,295000,2003-08-14,611359
1437 Columbine St,Denver,CO,80206,Single Family Residence,3613,7310.00,14,7,5.000,1905,850000,2013-02-19,1316080
3695 Ivy St,Denver,CO,80207,Single Family Residence,1110,6250.00,6,3,2.000,1954,142000,2000-04-27,342787
2339 N Emerson St,Denver,CO,80205,Single Family Residence,1624,4687.00,7,3,2.000,1894,500200,2014-06-18,610799
4300 Depew St,Denver,CO,80212,Single Family Residence,1524,6650.00,0,3,2.000,1947,0,1982-04-16,370788
325 W Irvington Pl,Denver,CO,80223,Single Family Residence,2100,6250.00,6,4,2.000,1890,35900,1978-02-01,553039
289 S Grant St,Denver,CO,80209,Single Family Residence,1469,3451.00,6,3,2.000,1890,287000,2005-01-18,495641
556 N Ogden St,Denver,CO,80218,Single Family Residence,1640,4690.00,6,3,3.000,1906,0,1989-11-01,576299
1552 Jasmine St,Denver,CO,80220,Single Family Residence,980,6100.00,5,2,1.000,1942,62000,1992-08-28,456005
3630 Krameria St,Denver,CO,80207,Single Family Residence,1131,6250.00,7,3,1.000,1954,41500,1979-06-01,316789
6017 W Progress Ave,Denver,CO,80123,Single Family Residence,2179,6129.00,8,4,4.000,1998,515000,2016-06-02,508486
1855 S Lowell Blvd,Denver,CO,80219,Single Family Residence,1053,7080.00,5,3,1.000,1954,170000,2001-05-01,253019
158 N Yorick,Denver,IN,46926,Single Family Residence,2182,29751.00,9,3,3.000,1965,0,2015-09-04,131477
2801 S Valentia St,Denver,CO,80231,Single Family Residence,2474,13700.00,7,3,3.000,1967,51500,1976-06-01,424988
2428 W Argyle Pl,Denver,CO,80211,Single Family Residence,1219,2772.00,6,3,2.000,1901,45000,1980-08-01,455769
3460 Mosko Ct,Denver,CO,80221,Single Family Residence,864,6600.00,4,2,1.000,1980,255000,2016-09-09,236787
6925 Kidder Dr,Denver,CO,80221,Single Family Residence,960,7100.00,5,3,1.000,1959,159000,2002-06-17,231609
2529 S Holly Pl,Denver,CO,80222,Single Family Residence,2101,13591.00,0,3,2.000,1955,379900,2013-07-23,514785
1748 S Ogden St,Denver,CO,80210,Single Family Residence,959,6240.00,5,2,2.000,1909,275000,2003-07-21,512490
4659 Argonne St,Denver,CO,80249,Single Family Residence,1725,5716.00,6,3,3.000,2009,211000,2014-02-14,289120
2765 S Jackson St,Denver,CO,80210,Single Family Residence,2724,7410.00,8,5,3.000,1951,503950,2014-06-09,800482
1600 S Quieto Ct,Denver,CO,80223,Single Family Residence,931,10000.00,5,2,1.000,1954,94900,2007-09-13,256860
4791 W Tufts Ave,Denver,CO,80236,Single Family Residence,2078,10400.00,7,3,2.000,1964,257000,2005-07-15,378055
4550 Del Rio Ct,Denver,CO,80239,Single Family Residence,1119,5490.00,6,3,3.000,1982,240000,2015-10-01,246867
1040 Syracuse Ct,Denver,CO,80230,Single Family Residence,2587,5500.00,8,4,4.000,2002,575000,2009-08-03,712062
4517 Quivas St,Denver,CO,80211,Single Family Residence,1125,8100.00,5,2,1.000,1946,47500,1979-04-01,337542
1615 Jasmine St,Denver,CO,80220,Single Family Residence,2640,6200.00,8,4,3.000,1910,134500,1990-10-18,785238
3097 S Wolff St,Denver,CO,80236,Single Family Residence,1281,6690.00,5,2,2.000,1958,68900,1997-12-04,329111
4790 Columbine St,Denver,CO,80216,Single Family Residence,1772,5880.00,7,3,2.000,1947,44900,1989-04-01,249647
1030 S Franklin St,Denver,CO,80209,Single Family Residence,3793,6300.00,7,4,3.000,1916,1255000,2010-03-18,1936383
235 S Canosa Ct,Denver,CO,80219,Single Family Residence,1123,6750.00,5,2,2.000,1955,166500,2014-05-19,254984
2270 W Custer Pl,Denver,CO,80223,Single Family Residence,2068,7200.00,8,4,2.000,1951,54900,1994-05-01,326414
3102 N Columbine St,Denver,CO,80205,Single Family Residence,690,5750.00,4,1,1.000,1924,199950,2015-07-17,360386
7690 E Cornell Ave,Denver,CO,80231,Single Family Residence,2023,7790.00,8,4,3.000,1973,110035,1992-10-23,420018
3218 S Galena Ct,Denver,CO,80231,Single Family Residence,1449,9600.00,6,3,3.000,1963,310750,2012-06-15,461393
1824 Clermont St,Denver,CO,80220,Single Family Residence,1674,3860.00,6,4,1.500,1906,275000,1999-04-02,762897
618 S Emerson St,Denver,CO,80209,Single Family Residence,991,6350.00,5,1,1.000,1924,412500,2015-10-28,585511
3724 E Dartmouth Ave,Denver,CO,80210,Single Family Residence,2788,17100.00,8,4,2.000,1952,410000,1999-11-18,739518
1733 N Clarkson St,Denver,CO,80218,Single Family Residence,1609,3600.00,7,2,2.000,1890,0,2006-01-09,459029
1975 S Ogden St,Denver,CO,80210,Single Family Residence,3322,6250.00,9,4,4.000,2008,810000,2010-06-10,1013146
15435 Pensacola Pl,Denver,CO,80239,Single Family Residence,1911,4545.00,8,4,4.000,2001,282300,2015-12-16,309794
26 Winona Ct,Denver,CO,80219,Single Family Residence,746,6250.00,4,2,1.000,1947,86000,2011-06-02,241690
2859 N Race St,Denver,CO,80205,Single Family Residence,2798,6850.00,11,4,2.000,1912,250500,2004-04-08,712456
3331 Bryant St,Denver,CO,80211,Single Family Residence,3044,6250.00,8,3,1.000,2014,344000,2013-01-22,570126
1200 Holly St,Denver,CO,80220,Single Family Residence,1508,8300.00,6,3,3.000,1942,485000,2013-07-22,640153
3026 N Gaylord St,Denver,CO,80205,Single Family Residence,1290,4690.00,6,2,1.000,1907,49000,1996-07-05,442824
2707 S Benton St,Denver,CO,80227,Single Family Residence,2149,10200.00,8,4,3.000,1970,270000,2006-11-27,378408
1315 S Kearney St,Denver,CO,80224,Single Family Residence,811,8960.00,4,2,2.000,1955,175900,2000-04-26,388767
1576 Meade St,Denver,CO,80204,Single Family Residence,1484,6250.00,6,2,2.000,1924,0,2000-10-05,496950
2651 Quitman St,Denver,CO,80212,Single Family Residence,1597,9520.00,7,3,2.000,1947,408142,2015-10-22,597766
7334 E Cedar Ave,Denver,CO,80230,Single Family Residence,2988,6509.00,9,4,3.000,1998,585000,2006-05-07,740049
1810 S Patton Ct,Denver,CO,80219,Single Family Residence,1017,6600.00,6,4,1.000,1954,132000,2010-04-19,255359
1763 Clarkson St,Denver,CO,80218,Single Family Residence,1896,3600.00,8,2,2.000,1890,20000,1990-11-01,561106
7650 E Cornell Ave,Denver,CO,80231,Single Family Residence,1961,7790.00,7,3,2.000,1973,110000,1994-04-07,397813
573 S Oneida Way,Denver,CO,80224,Single Family Residence,2063,10000.00,7,4,3.000,1960,280000,2009-10-13,591098
2568 S Delaware St,Denver,CO,80223,Single Family Residence,659,9370.00,4,2,1.000,1915,165500,2009-02-25,309312
4849 Lincoln St,Denver,CO,80216,Single Family Residence,812,9370.00,5,2,1.000,1929,0,2008-08-19,291636
2675 E Tennessee Ave,Denver,CO,80209,Single Family Residence,1853,7870.00,8,4,4.000,1940,843750,2014-11-03,1027065
3066 S Trenton St,Denver,CO,80231,Single Family Residence,2394,10801.00,8,4,3.000,1974,389900,2013-10-18,544716
3444 Beeler St,Denver,CO,80238,Single Family Residence,2737,4950.00,8,4,4.000,2009,509701,2009-09-15,717512
1600 Vrain St,Denver,CO,80204,Single Family Residence,1242,6250.00,7,3,2.000,1922,305000,2005-04-14,548071
3590 Leyden St,Denver,CO,80207,Single Family Residence,842,6250.00,5,2,1.000,1952,93000,1999-05-04,288319
1597 W Burlington Pl,Denver,CO,80221,Single Family Residence,1057,6910.00,6,3,1.000,1954,55000,1993-11-01,274245
3532 N Vine St,Denver,CO,80205,Single Family Residence,1031,4690.00,5,2,1.000,1910,45500,1980-09-01,370617
2550 W Hillside Ave,Denver,CO,80219,Single Family Residence,1050,8590.00,5,2,2.000,1945,265000,2015-07-30,316003
2782 S Ivan Way,Denver,CO,80227,Single Family Residence,1876,10500.00,7,4,3.000,1964,85000,1980-07-01,365134
4931 Crown Blvd,Denver,CO,80239,Single Family Residence,1116,8800.00,5,3,3.000,1976,122000,2012-10-31,252853
5537 Billings St,Denver,CO,80239,Single Family Residence,840,7060.00,4,2,2.000,1971,109000,2008-11-20,256301
1022 Spruce St,Denver,CO,80230,Single Family Residence,2269,5000.00,9,4,3.000,2004,449334,2005-02-07,653232
3267 S Steele St,Denver,CO,80210,Single Family Residence,3365,19900.00,10,4,3.000,1957,726570,2013-12-12,1084943
8309 E Kenyon Ave,Denver,CO,80237,Single Family Residence,1316,10080.00,6,3,3.000,1963,263750,2005-10-28,410690
7500 E Dartmouth Ave # 20,Denver,CO,80231,Single Family Residence,2083,4599.00,7,3,4.000,1983,231000,1998-07-27,430338
944 Perry St,Denver,CO,80204,Single Family Residence,1010,6250.00,6,3,2.000,1954,155000,2011-12-12,289897
1731 Grove St,Denver,CO,80204,Single Family Residence,2226,6500.00,8,5,4.000,1927,260000,2012-08-01,617021
4346 Del Rio Ct,Denver,CO,80239,Single Family Residence,1406,5790.00,6,3,3.000,1984,187900,2013-07-15,284769
2855 W 45th Ave,Denver,CO,80211,Single Family Residence,1074,5610.00,5,3,2.000,1946,210000,2016-07-25,442810
4770 Pennsylvania St,Denver,CO,80216,Single Family Residence,1067,9370.00,6,3,2.000,1934,60000,1981-09-01,257386
601 S Decatur St,Denver,CO,80219,Single Family Residence,815,7500.00,4,2,1.000,1946,155000,2005-06-30,258400
1832 S Williams St,Denver,CO,80210,Single Family Residence,771,4740.00,5,2,2.000,1932,60000,1991-08-01,378958
3560 Tennyson St,Denver,CO,80212,Single Family Residence,764,3125.00,5,2,1.000,1891,37000,1983-02-01,304743
1750 Xenia St,Denver,CO,80220,Single Family Residence,945,12500.00,6,3,1.000,1889,38000,1978-05-01,268325
3328 S Grape St,Denver,CO,80222,Single Family Residence,1395,7750.00,7,3,1.000,1953,295676,2015-04-15,353731
68 W Bayaud Ave,Denver,CO,80223,Single Family Residence,0,6100.00,10,4,10.000,0,60000,1992-12-01,346072
244 N Pennsylvania St,Denver,CO,80203,Single Family Residence,1498,4687.00,7,3,2.000,1902,54000,1989-03-01,500074
2901 W Short Pl,Denver,CO,80204,Single Family Residence,481,9067.00,4,2,1.000,1922,44888,2010-02-09,178229
1223 Lipan St,Denver,CO,80204,Single Family Residence,798,4690.00,5,2,1.000,1891,109000,2001-06-05,304654
2922 N Gaylord St,Denver,CO,80205,Single Family Residence,1448,4690.00,6,3,1.000,1904,269000,2006-02-06,427296
3214 N Gaylord St,Denver,CO,80205,Single Family Residence,1233,4700.00,5,2,2.000,1929,280000,2013-06-04,387485
3135 California St,Denver,CO,80205,Single Family Residence,970,3123.00,6,3,1.000,1882,301000,2015-01-27,430621
